gene;Oral.AFB.Sham;Oral.CB.Sham;Inj.AFB.Sham;Inj.AFB.Infected
LOC100577978;0;1;0;0
LOC113218995;0;1;0;0
LOC724239;0;1;0;0
LOC100576956;0;1;0;0
LOC724126;0;1;0;0
LOC102655168;0;1;0;0
LOC411983;0;1;0;0
LOC100577847;0;1;0;1
Mrjp2;0;1;0;0
LOC409162;0;1;0;0
LOC113219054;0;1;1;0
LOC551970;0;1;0;0
LOC411376;0;1;0;0
LOC724867;0;1;0;0
LOC413210;0;1;0;0
LOC102656321;0;1;0;0
LOC550914;0;0;1;0
LOC724398;0;0;1;0
LOC102656040;0;0;1;0
LOC408390;0;0;1;0
LOC552083;0;0;1;0
LOC100578664;0;0;1;0
LOC408494;0;0;1;0
LOC551646;0;0;1;0
LOC100576128;0;0;1;0
LOC100578248;0;0;1;0
LOC100578434;0;0;1;0
LOC409163;0;0;1;0
LOC102656315;0;0;1;0
LOC726758;0;0;1;0
LOC551089;0;0;1;0
LOC409740;0;0;1;0
LOC107964793;0;0;1;0
Cdc37;0;0;1;0
B-gluc1;0;0;1;1
LOC107964828;0;0;1;0
LOC411569;0;0;1;0
LOC100576585;0;0;1;0
LOC107964975;0;0;1;1
LOC726920;0;0;1;1
LOC410526;0;0;1;0
LOC107965368;0;0;1;1
LOC408991;0;0;1;0
LOC724554;0;0;1;0
LOC552048;0;0;1;0
LOC102656248;0;0;1;0
LOC726886;0;0;1;0
LOC725683;0;0;1;0
LOC551496;0;0;1;0
LOC409456;0;0;1;0
LOC100576189;0;0;1;0
LOC100577783;0;0;1;0
LOC113218568;0;0;1;0
LOC725211;0;0;1;0
LOC100578514;0;0;1;0
LOC727290;0;0;1;0
LOC550964;0;0;1;0
LOC724568;0;0;1;0
LOC724538;0;0;1;0
LOC724860;0;0;1;0
Cyp6as5;0;0;1;0
LOC725882;0;0;1;0
LOC409414;0;0;1;0
LOC102653784;0;0;1;0
LOC100577743;0;0;1;0
LOC100577317;0;0;1;0
LOC412279;0;0;1;0
LOC409367;0;0;1;0
LOC413543;0;0;1;0
LOC100576895;0;0;1;1
LOC113219096;0;0;1;0
LOC725964;0;0;1;0
LOC113218599;0;0;1;0
LOC726247;0;0;1;0
LOC726189;0;0;1;0
Grp;0;0;1;0
LOC552550;0;0;1;0
LOC413399;0;0;1;0
LOC410639;0;0;1;0
LOC552605;0;0;1;0
LOC411894;0;0;1;0
LOC102655220;0;0;1;0
TyHyd;0;0;1;0
LOC102656347;0;0;1;0
LOC100576989;0;0;1;0
LOC100578112;0;0;1;0
LOC412222;0;0;1;1
LOC411298;0;0;1;0
LOC551323;0;0;1;0
LOC552457;0;0;1;0
LOC107964317;0;0;1;0
LOC409390;0;0;1;0
LOC100577988;0;0;1;0
LOC100576284;0;0;1;0
LOC100576225;0;0;1;0
LOC725239;0;0;1;0
LOC724603;0;0;1;0
LOC725246;0;0;1;0
LOC408269;0;0;1;0
LOC552276;0;0;1;0
LOC102655094;0;0;1;0
LOC410405;0;0;1;0
LOC102655426;0;0;1;0
LOC410482;0;0;1;0
LOC113219353;0;0;1;0
LOC100576571;0;0;1;0
LOC107964835;0;0;1;0
LOC413113;0;0;1;0
LOC100578575;0;0;1;0
LOC724382;0;0;1;0
LOC113218569;0;0;1;0
LOC412996;0;0;1;0
LOC552206;0;0;1;0
LOC102656074;0;0;1;0
LOC551617;0;0;1;0
LOC411358;0;0;1;0
LOC102655481;0;0;1;0
LOC410751;0;0;1;0
LOC409517;0;0;1;0
LOC551553;0;0;1;0
LOC113218669;0;0;1;1
LOC724890;0;0;1;0
LOC724356;0;0;1;0
aub;0;0;1;0
LOC413676;0;0;1;0
LOC411506;0;0;1;0
LOC408432;0;0;1;0
LOC726987;0;0;1;0
LOC107964968;0;0;1;0
LOC411589;0;0;1;0
LOC413568;0;0;1;0
LOC107964083;0;0;1;0
LOC100577504;0;0;1;0
LOC726260;0;0;1;0
Cyp314a1;0;0;1;0
LOC552850;0;0;1;0
LOC107964268;0;0;1;0
LOC408721;0;0;1;0
LOC413783;0;0;1;0
LOC724197;0;0;1;0
LOC113219352;0;0;1;0
LOC408852;0;0;1;0
LOC102656154;0;0;1;0
LOC113219085;0;0;1;0
LOC413048;0;0;0;1
LOC102655594;0;0;0;1
LOC100577620;0;0;0;1
LOC102654625;0;0;0;1
LOC100577576;0;0;0;1
LOC411692;0;0;0;1
LOC100577839;0;0;0;1
